x,y,x-xbar,y-ybar,(x-xbar)*(y-ybar),pred ,err,,,,,,,
7.9334,4.5623,-0.2264,-1.276835052,0.289075456,5.569032235,1.013509793,,,,,,,
8.0959,4.1164,-0.0639,-1.722735052,0.11008277,5.762900202,2.710962916,,,,,,,
5.6063,3.3928,-2.5535,-2.446335052,6.246716554,2.79272364,0.360091638,,,,,,,
12.836,10.117,4.6762,4.277864948,20.00415207,11.41799898,1.692598351,,,,,,,
6.3534,5.4974,-1.8064,-0.341735052,0.617310197,3.684039076,3.288277841,,,,,,,
5.4069,0.55657,-2.7529,-5.282565052,14.54237333,2.554832731,3.993053943,,,,,,,
6.8825,3.9115,-1.2773,-1.927635052,2.462168251,4.315273177,0.163032779,,,,,,,
11.708,5.3854,3.5482,-0.453735052,-1.60994271,10.07225703,21.96662882,,,,,,,
5.7737,2.4406,-2.3861,-3.398535052,8.109244486,2.992437472,0.304524596,,,,,,,
7.8247,6.7318,-0.3351,0.892664948,-0.299132024,5.439349478,1.670428353,,,,,,,
7.0931,1.0463,-1.0667,-4.792835052,5.112517149,4.566526063,12.39199154,,,,,,,
5.0702,5.1337,-3.0896,-0.705435052,2.179512135,2.153138303,8.88374803,,,,,,,
5.8014,1.844,-2.3584,-3.995135052,9.422126506,3.025484504,1.395905633,,,,,,,
11.7,8.0043,3.5402,2.165164948,7.665116951,10.06271276,4.237063096,,,,,,,
5.5416,1.0179,-2.6182,-4.821235052,12.62295761,2.715534363,2.881962431,,,,,,,
7.5402,6.7504,-0.6196,0.911264948,-0.564619762,5.099931406,2.724046581,,,,,,,
5.3077,1.8396,-2.8521,-3.999535052,11.40707392,2.436483794,0.356270263,,,,,,,
7.4239,4.2885,-0.7359,-1.550635052,1.141112334,4.961181593,0.452500525,,,,,,,
7.6031,4.9981,-0.5567,-0.841035052,0.468204213,5.174973222,0.031284137,,,,,,,
6.3328,1.4233,-1.827,-4.415835052,8.067730639,3.659462583,5.000423097,,,,,,,
6.3589,-1.4211,-1.8009,-7.260235052,13.0749573,3.690600761,26.12948467,,,,,,,
6.2742,2.4756,-1.8856,-3.363535052,6.342281693,3.589550811,1.24088641,,,,,,,
5.6397,4.6042,-2.5201,-1.234935052,3.112159823,2.832570964,3.138669442,,,,,,,
9.3102,3.9624,1.1504,-1.876735052,-2.158996003,7.211600957,10.55730686,,,,,,,
9.4536,5.4141,1.2938,-0.425035052,-0.54991035,7.382681982,3.875315019,,,,,,,
8.8254,5.1694,0.6656,-0.669735052,-0.44577565,6.633218246,2.142763857,,,,,,,
5.1793,-0.74279,-2.9805,-6.581925052,19.61742762,2.283298274,9.15721024,,,,,,,
21.279,17.929,13.1192,12.08986495,158.6093562,21.49078205,12.68629134,,,,,,,
14.908,12.054,6.7482,6.214864948,41.93915165,13.88996469,3.370766358,,,,,,,
18.959,17.054,10.7992,11.21486495,121.1115696,18.72294399,2.785374039,,,,,,,
7.2182,4.8852,-0.9416,-0.953935052,0.898225245,4.715774572,0.028704976,,,,,,,
8.2951,5.7442,0.1353,-0.094935052,-0.012844712,6.000552504,0.065716606,,,,,,,
10.236,7.7754,2.0762,1.936264948,4.020073286,8.316111505,0.292368932,,,,,,,
5.4994,1.0173,-2.6604,-4.821835052,12.82800997,2.665188343,2.715535992,,,,,,,
20.341,20.992,12.1812,15.15286495,184.5800785,20.37171649,0.384751637,,,,,,,
10.136,6.6799,1.9762,0.840764948,1.661519691,8.196808141,2.301010308,,,,,,,
7.3345,4.0259,-0.8253,-1.813235052,1.496462888,4.854524385,0.686618371,,,,,,,
6.0062,1.2784,-2.1536,-4.560735052,9.821999007,3.269817795,3.965744832,,,,,,,
7.2259,3.3411,-0.9339,-2.498035052,2.332914935,4.724960931,1.915071077,,,,,,,
5.0269,-2.6807,-3.1329,-8.519835052,26.69179123,2.101479946,22.86924504,,,,,,,
6.5479,0.29678,-1.6119,-5.542355052,8.933722108,3.91608412,13.09936231,,,,,,,
7.5386,3.8845,-0.6212,-1.954635052,1.214219294,5.098022552,1.472636984,,,,,,,
5.0365,5.7014,-3.1233,-0.137735052,0.430187886,2.112933069,12.87709491,,,,,,,
10.274,6.7526,2.1142,0.913464948,1.931247594,8.361446784,2.588387974,,,,,,,
5.1077,2.0576,-3.0521,-3.781535052,11.54162313,2.197877065,0.019677655,,,,,,,
5.7292,0.47953,-2.4306,-5.359605052,13.02705604,2.939347475,6.05070201,,,,,,,
5.1884,0.20421,-2.9714,-5.634925052,16.7436163,2.29415488,4.3678696,,,,,,,
6.3557,0.67861,-1.8041,-5.160525052,9.310103245,3.686783053,9.049105119,,,,,,,
9.7687,7.5435,1.6089,1.704364948,2.742152766,7.758606883,0.046270971,,,,,,,
6.5159,5.3436,-1.6439,-0.495535052,0.814610071,3.877907043,2.148255843,,,,,,,
8.5172,4.2415,0.3574,-1.597635052,-0.570994767,6.265525277,4.096678321,,,,,,,
9.1802,6.7981,1.0204,0.958964948,0.978527833,7.056506583,0.066773962,,,,,,,
6.002,0.92695,-2.1578,-4.912185052,10.5995129,3.264807053,5.465575601,,,,,,,
5.5204,0.152,-2.6394,-5.687135052,15.01062426,2.69024205,6.442672704,,,,,,,
5.0594,2.8214,-3.1004,-3.017735052,9.356185754,2.14025354,0.463960501,,,,,,,
5.7077,1.8451,-2.4521,-3.994035052,9.79377335,2.913697252,1.141900086,,,,,,,
7.6366,4.2959,-0.5232,-1.543235052,0.807420579,5.214939849,0.844634244,,,,,,,
5.8707,7.2029,-2.2891,1.363764948,-3.121794344,3.108161736,16.76688145,,,,,,,
5.3054,1.9869,-2.8544,-3.852235052,10.99581973,2.433739816,0.199665821,,,,,,,
8.2934,0.14454,0.1336,-5.694595052,-0.760797899,5.998524347,34.26913273,,,,,,,
13.394,9.0551,5.2342,3.215964948,16.83300373,12.08371176,9.172489167,,,,,,,
5.4369,0.61705,-2.7229,-5.222085052,14.21921539,2.590623741,3.894993309,,,,,,,
